59,44,85,34
81,52,58,93
80,48,58,41
60,41,35,98
68,75,51,81
94,32,41,52
82,39,56,87
62,99,33,55
85,64,91,52
78,63,37,68
99,88,88,65
76,91,30,96
84,33,62,68
77,70,39,95
54,57,50,61
30,80,60,53
47,52,42,75
64,48,94,37
68,48,99,94
79,67,87,86
41,56,41,78
36,45,64,95
76,44,71,72
59,65,74,51
46,58,59,95
36,68,85,45
57,90,52,39
42,80,54,48
94,82,75,99
65,97,33,86
85,53,75,42
60,52,83,79
42,80,61,89
68,46,67,73
61,79,75,81
99,71,62,81
49,95,88,91
96,84,98,57
60,79,44,37
66,74,66,30
92,40,94,77
97,72,67,79
80,90,38,49
90,81,60,85
95,54,84,42
66,87,96,97
30,31,81,91
60,52,55,56
54,47,46,100
61,65,87,61
