4.643326292107389230e-01,9.130967624486694412e-01,2.239961310629990932e-01,7.341260324475574750e-01,1.153781301622099908e-01
1.767499491621515872e-01,9.648225686817644142e-01,8.039531080532381635e-01,3.429217455414974580e-01,7.927177604207731321e-01
2.500350997148238497e-01,8.313622394034214658e-02,2.932923989274427434e-02,5.443793517186409359e-01,9.043315395051224614e-01
4.078976731628450869e-01,5.591235683302882009e-01,1.821677048911933827e-01,7.785473211732640841e-01,1.729122712837068976e-01
5.798237710887866880e-01,3.528094829224809326e-01,8.297620676098266257e-01,7.205100637776695738e-02,8.771337865564265979e-01
2.111308261226445548e-01,7.430116700018347675e-01,1.628749267893627728e-01,2.872425630202871671e-01,1.219016548753557583e-01
5.057425908872733578e-01,3.926570288538263620e-01,8.129899001160045824e-01,2.748112856709139518e-02,2.386319111293980777e-01
4.693125501313352155e-01,2.312929666520965322e-01,1.916111436291357828e-01,7.904298792031348997e-01,5.733156218875984367e-01
5.747874807583115420e-01,9.690297068862701035e-01,7.170289787594456010e-01,2.355841661803249609e-01,6.385831629790680308e-01
7.861989645230487156e-01,4.246779305780998826e-01,8.919085958488227606e-01,3.352086607528637074e-01,7.476540942595957251e-01
3.295385847298989423e-01,4.797218213380953777e-01,2.226391174413466789e-02,1.018434418599830638e-01,7.865475899164493523e-01
5.123838788886931894e-01,4.145285731374067639e-01,1.246505306565907079e-01,6.231444776508378025e-01,8.907686321303319721e-01
8.629041372831264267e-01,2.826951559868164932e-01,8.775868718249180134e-02,9.943880812275545100e-01,6.770372439409497733e-01
5.531309786023429487e-01,3.376355903673997627e-01,8.534585244109721414e-01,8.304040005308279682e-01,1.001180744396603650e-01
7.130353334590472381e-01,1.279689306629233636e-01,3.850130463146447246e-01,4.677765326489101705e-01,2.023764130079159784e-01
5.028069382895621331e-01,8.604491235274751570e-01,8.030018742491308315e-01,4.924165973192582424e-01,6.421474463552589995e-02
3.072934195536719537e-01,7.617041547739690222e-01,6.618909388217190104e-01,1.869792275691185557e-01,8.265259337896810887e-01
4.265014922058427693e-01,1.995636694258566823e-01,1.496255625987813476e-01,8.771315832546285884e-01,4.868111256464402459e-01
8.333870513503318644e-01,3.258713968282229700e-01,6.373957173796488407e-01,7.098878626328782859e-01,5.426796830771141167e-01
4.420583444913656068e-01,2.875286569683023208e-01,3.228383944609244383e-01,6.760058965070404602e-01,7.610057253527692245e-01
