survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False
1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True
1,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True
0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True
0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False
1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False
1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False
1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True
1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False
1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False
0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False
0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False
0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False
0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False
1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True
1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True
0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True
0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False
0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False
0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True
1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True
0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
0,2,male,,0,0,15.05,C,Second,man,True,,Cherbourg,no,True
1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False
1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True
1,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True
0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False
0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
